qr_code,gprs_log_location
1000455,"23.208138333333334,72.687708333333333"
1000505,"23.042368333333,72.548501666667"
1000001,"12.920225000000000,77.691860000000005"
1000003,"12.918836666666667,77.687778333333327"
1000004,"12.919815000000000,77.689826666666661"
1000005,"12.918691666666666,77.687775000000002"
1000006,"13.020428333333333,77.767161666666667"
1000007,"12.919203333333334,77.687956666666665"
1000008,"12.921786666666666,77.662598333333335"
1000009,"12.919306666666667,77.687903333333338"
1000010,"12.959386666666667,77.741031666666672"
1000011,"12.920448333333333,77.691636666666668"
1000012,"12.918768333333333,77.687971666666670"
1000013,"12.926465000000000,77.692814999999996"
1000014,"12.926716666666668,77.673801666666662"
1000015,"12.943226666666666,77.691095000000004"
1000016,"12.940030000000000,77.693043333333335"
1000017,"12.919151666666666,77.687989999999999"
1000018,"12.908938333333333,77.693719999999999"
1000019,"12.924613333333333,77.689211666666665"
1000020,"12.926295000000000,77.690920000000006"
1000021,"12.918786666666668,77.687806666666660"
1000022,"12.918576666666667,77.687308333333334"
1000023,"12.918736666666666,77.687948333333338"
1000024,"12.926316666666667,77.693056666666664"
1000025,"12.974800000000000,77.693880000000007"
1000026,"12.918943333333333,77.687926666666669"
1000027,"12.924291666666667,77.681018333333327"
1000028,"12.875488333333333,77.657771666666662"
1000029,"12.928150000000000,77.673558333333332"
1000030,"12.919476666666666,77.687331666666665"
1000031,"12.920095000000000,77.689138333333332"
1000032,"12.919420000000001,77.685196666666670"
1000033,"12.922200000000000,77.662666666666667"
1000034,"12.918518333333333,77.687956666666665"
1000035,"12.919203333333334,77.687860000000001"
1000036,"12.894953333333333,77.693226666666661"
1000037,"12.927841666666666,77.609813333333335"
1000038,"12.925133333333333,77.693618333333333"
1000039,"13.001001666666667,77.614571666666663"
1000040,"12.934805000000001,77.690623333333335"
1000041,"12.926573333333334,77.692738333333338"
1000042,"12.919811666666666,77.690624999999997"
1000043,"12.924678333333333,77.679630000000003"
1000044,"12.919100000000000,77.687896666666660"
1000045,"12.927548333333334,77.685393333333337"
1000046,"12.959250000000001,77.712371666666670"
1000047,"12.932968333333333,77.682048333333327"
1000048,"12.941508333333333,77.701329999999999"
1000049,"12.920583333333333,77.691564999999997"
1000050,"12.918956666666666,77.687808333333336"
1000051,"12.928625000000000,77.687548333333339"
1000052,"12.918791666666667,77.687858333333338"
